loading chainyo/alpaca-lora-7b...
loading data from ../outputs/generated_data/train_data.json...
{'loss': 0.7226, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.01}
{'loss': 0.0004, 'learning_rate': 1.8766400179274287e-05, 'epoch': 0.56}
{'loss': 0.0004, 'learning_rate': 1.8724431421566822e-05, 'epoch': 0.57}
{'loss': 0.0004, 'learning_rate': 1.868180920098644e-05, 'epoch': 0.58}
{'loss': 0.0004, 'learning_rate': 1.8638536709951916e-05, 'epoch': 0.58}
{'loss': 0.0003, 'learning_rate': 1.8594617189587515e-05, 'epoch': 0.59}
{'loss': 0.0003, 'learning_rate': 1.8550053929480202e-05, 'epoch': 0.6}
{'loss': 0.0003, 'learning_rate': 1.8504850267433278e-05, 'epoch': 0.61}
{'loss': 0.0003, 'learning_rate': 1.8459009589216364e-05, 'epoch': 0.62}
{'loss': 0.0003, 'learning_rate': 1.8412535328311813e-05, 'epoch': 0.62}
{'loss': 0.0004, 'learning_rate': 1.8365430965657527e-05, 'epoch': 0.63}
{'loss': 0.0003, 'learning_rate': 1.8317700029386245e-05, 'epoch': 0.64}
{'loss': 0.0003, 'learning_rate': 1.826934609456129e-05, 'epoch': 0.65}
{'loss': 0.0003, 'learning_rate': 1.8220372782908778e-05, 'epoch': 0.66}
{'loss': 0.0003, 'learning_rate': 1.8170783762546363e-05, 'epoch': 0.66}
{'loss': 0.0003, 'learning_rate': 1.8120582747708503e-05, 'epoch': 0.67}
{'loss': 0.0003, 'learning_rate': 1.8069773498468224e-05, 'epoch': 0.68}
{'loss': 0.0003, 'learning_rate': 1.8018359820455535e-05, 'epoch': 0.69}
{'loss': 0.0003, 'learning_rate': 1.796634556457236e-05, 'epoch': 0.7}
{'loss': 0.0003, 'learning_rate': 1.791373462670411e-05, 'epoch': 0.7}
{'loss': 0.0003, 'learning_rate': 1.7860530947427878e-05, 'epoch': 0.71}
{'loss': 0.0003, 'learning_rate': 1.780673851171728e-05, 'epoch': 0.72}
{'loss': 0.0003, 'learning_rate': 1.7752361348644012e-05, 'epoch': 0.73}
{'loss': 0.0003, 'learning_rate': 1.769740353107602e-05, 'epoch': 0.74}
{'loss': 0.0003, 'learning_rate': 1.7641869175372493e-05, 'epoch': 0.74}
{'loss': 0.0003, 'learning_rate': 1.7585762441075504e-05, 'epoch': 0.75}
{'loss': 0.0003, 'learning_rate': 1.752908753059849e-05, 'epoch': 0.76}
{'loss': 0.0003, 'learning_rate': 1.7471848688911465e-05, 'epoch': 0.77}
{'loss': 0.0002, 'learning_rate': 1.7414050203223092e-05, 'epoch': 0.78}
{'loss': 0.0002, 'learning_rate': 1.735569640265955e-05, 'epoch': 0.78}
{'loss': 0.0002, 'learning_rate': 1.72967916579403e-05, 'epoch': 0.79}
{'loss': 0.0003, 'learning_rate': 1.72373403810507e-05, 'epoch': 0.8}
